geraetenummer;bezeichnung;serial_nummer;depot;baujahr;status;subgroup;machine_tab_data
DEMO-000068;stampfer gross 18;SN-DEMO-000068;Schwehat;2022;gross;stampfer;{}
DEMO-000069;stampfer gross 19;SN-DEMO-000069;Schwehat;2023;gross;stampfer;{}
DEMO-000070;stampfer gross 20;SN-DEMO-000070;Schwehat;2024;gross;stampfer;{}
DEMO-000071;stampfer gross 21;SN-DEMO-000071;Schwehat;2025;gross;stampfer;{}
DEMO-000072;stampfer gross 22;SN-DEMO-000072;Schwehat;2026;gross;stampfer;{}
DEMO-000073;stampfer gross 23;SN-DEMO-000073;Schwehat;2018;gross;stampfer;{}
DEMO-000074;stampfer gross 24;SN-DEMO-000074;Schwehat;2019;gross;stampfer;{}
DEMO-000075;stampfer gross 25;SN-DEMO-000075;Schwehat;2020;gross;stampfer;{}
DEMO-000076;stampfer gross 26;SN-DEMO-000076;Schwehat;2021;gross;stampfer;{}
DEMO-000077;stampfer gross 27;SN-DEMO-000077;Schwehat;2022;gross;stampfer;{}
DEMO-000078;stampfer gross 28;SN-DEMO-000078;Schwehat;2023;gross;stampfer;{}
DEMO-000079;stampfer gross 29;SN-DEMO-000079;Schwehat;2024;gross;stampfer;{}
DEMO-000080;stampfer gross 30;SN-DEMO-000080;Schwehat;2025;gross;stampfer;{}
DEMO-000081;stampfer gross 31;SN-DEMO-000081;Schwehat;2026;gross;stampfer;{}
DEMO-000082;stampfer gross 32;SN-DEMO-000082;Schwehat;2018;gross;stampfer;{}
DEMO-000083;stampfer gross 33;SN-DEMO-000083;Schwehat;2019;gross;stampfer;{}
DEMO-000084;stampfer gross 34;SN-DEMO-000084;Schwehat;2020;gross;stampfer;{}
DEMO-000085;stampfer gross 35;SN-DEMO-000085;Schwehat;2021;gross;stampfer;{}
DEMO-000086;stampfer gross 36;SN-DEMO-000086;Schwehat;2022;gross;stampfer;{}
DEMO-000087;stampfer gross 37;SN-DEMO-000087;Schwehat;2023;gross;stampfer;{}
DEMO-000088;stampfer gross 38;SN-DEMO-000088;Schwehat;2024;gross;stampfer;{}
DEMO-000089;stampfer gross 39;SN-DEMO-000089;Schwehat;2025;gross;stampfer;{}
DEMO-000090;stampfer gross 40;SN-DEMO-000090;Schwehat;2026;gross;stampfer;{}
DEMO-000091;stampfer gross 41;SN-DEMO-000091;Schwehat;2018;gross;stampfer;{}
DEMO-000092;stampfer gross 42;SN-DEMO-000092;Schwehat;2019;gross;stampfer;{}
DEMO-000093;stampfer gross 43;SN-DEMO-000093;Schwehat;2020;gross;stampfer;{}
DEMO-000094;stampfer gross 44;SN-DEMO-000094;Schwehat;2021;gross;stampfer;{}
DEMO-000095;stampfer gross 45;SN-DEMO-000095;Schwehat;2022;gross;stampfer;{}
DEMO-000096;stampfer gross 46;SN-DEMO-000096;Schwehat;2023;gross;stampfer;{}
DEMO-000097;stampfer gross 47;SN-DEMO-000097;Schwehat;2024;gross;stampfer;{}
DEMO-000098;stampfer gross 48;SN-DEMO-000098;Schwehat;2025;gross;stampfer;{}
DEMO-000099;stampfer gross 49;SN-DEMO-000099;Schwehat;2026;gross;stampfer;{}
DEMO-000100;stampfer gross 50;SN-DEMO-000100;Schwehat;2018;gross;stampfer;{}
DEMO-000101;Kipplader 3.2 m3 Swivel klein 01;SN-DEMO-000101;Schwehat;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000102;Kipplader 3.2 m3 Swivel klein 02;SN-DEMO-000102;Schwehat;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000103;Kipplader 3.2 m3 Swivel klein 03;SN-DEMO-000103;Schwehat;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000104;Kipplader 3.2 m3 Swivel klein 04;SN-DEMO-000104;Schwehat;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000105;Kipplader 3.2 m3 Swivel klein 05;SN-DEMO-000105;Schwehat;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000106;Kipplader 3.2 m3 Swivel klein 06;SN-DEMO-000106;Schwehat;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000107;Kipplader 3.2 m3 Swivel klein 07;SN-DEMO-000107;Schwehat;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000108;Kipplader 3.2 m3 Swivel klein 08;SN-DEMO-000108;Schwehat;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000109;Kipplader 3.2 m3 Swivel klein 09;SN-DEMO-000109;Schwehat;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000110;Kipplader 3.2 m3 Swivel klein 10;SN-DEMO-000110;Schwehat;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000111;Kipplader 3.2 m3 Swivel klein 11;SN-DEMO-000111;Schwehat;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000112;Kipplader 3.2 m3 Swivel klein 12;SN-DEMO-000112;Schwehat;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000113;Kipplader 3.2 m3 Swivel klein 13;SN-DEMO-000113;Schwehat;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000114;Kipplader 3.2 m3 Swivel klein 14;SN-DEMO-000114;Schwehat;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000115;Kipplader 3.2 m3 Swivel klein 15;SN-DEMO-000115;Schwehat;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000116;Kipplader 3.2 m3 Swivel klein 16;SN-DEMO-000116;Schwehat;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000117;Kipplader 3.2 m3 Swivel klein 17;SN-DEMO-000117;Schwehat;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000118;Kipplader 3.2 m3 Swivel klein 18;SN-DEMO-000118;Schwehat;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000119;Kipplader 3.2 m3 Swivel klein 19;SN-DEMO-000119;Schwehat;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000120;Kipplader 3.2 m3 Swivel klein 20;SN-DEMO-000120;Schwehat;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000121;Kipplader 3.2 m3 Swivel klein 21;SN-DEMO-000121;Schwehat;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000122;Kipplader 3.2 m3 Swivel klein 22;SN-DEMO-000122;Schwehat;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000123;Kipplader 3.2 m3 Swivel klein 23;SN-DEMO-000123;Schwehat;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000124;Kipplader 3.2 m3 Swivel klein 24;SN-DEMO-000124;Schwehat;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000125;Kipplader 3.2 m3 Swivel klein 25;SN-DEMO-000125;Schwehat;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000126;Kipplader 3.2 m3 Swivel klein 26;SN-DEMO-000126;Schwehat;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000127;Kipplader 3.2 m3 Swivel klein 27;SN-DEMO-000127;Schwehat;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000128;Kipplader 3.2 m3 Swivel klein 28;SN-DEMO-000128;Schwehat;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000129;Kipplader 3.2 m3 Swivel klein 29;SN-DEMO-000129;Schwehat;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000130;Kipplader 3.2 m3 Swivel klein 30;SN-DEMO-000130;Schwehat;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000131;Kipplader 3.2 m3 Swivel klein 31;SN-DEMO-000131;Schwehat;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000132;Kipplader 3.2 m3 Swivel klein 32;SN-DEMO-000132;Schwehat;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000133;Kipplader 3.2 m3 Swivel klein 33;SN-DEMO-000133;Schwehat;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000134;Kipplader 3.2 m3 Swivel klein 34;SN-DEMO-000134;Schwehat;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000135;Kipplader 3.2 m3 Swivel klein 35;SN-DEMO-000135;Schwehat;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000136;Kipplader 3.2 m3 Swivel klein 36;SN-DEMO-000136;Schwehat;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000137;Kipplader 3.2 m3 Swivel klein 37;SN-DEMO-000137;Schwehat;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000138;Kipplader 3.2 m3 Swivel klein 38;SN-DEMO-000138;Schwehat;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000139;Kipplader 3.2 m3 Swivel klein 39;SN-DEMO-000139;Schwehat;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000140;Kipplader 3.2 m3 Swivel klein 40;SN-DEMO-000140;Schwehat;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000141;Kipplader 3.2 m3 Swivel klein 41;SN-DEMO-000141;Schwehat;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000142;Kipplader 3.2 m3 Swivel klein 42;SN-DEMO-000142;Schwehat;2024;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000143;Kipplader 3.2 m3 Swivel klein 43;SN-DEMO-000143;Schwehat;2025;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000144;Kipplader 3.2 m3 Swivel klein 44;SN-DEMO-000144;Schwehat;2026;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000145;Kipplader 3.2 m3 Swivel klein 45;SN-DEMO-000145;Schwehat;2018;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000146;Kipplader 3.2 m3 Swivel klein 46;SN-DEMO-000146;Schwehat;2019;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000147;Kipplader 3.2 m3 Swivel klein 47;SN-DEMO-000147;Schwehat;2020;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000148;Kipplader 3.2 m3 Swivel klein 48;SN-DEMO-000148;Schwehat;2021;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000149;Kipplader 3.2 m3 Swivel klein 49;SN-DEMO-000149;Schwehat;2022;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000150;Kipplader 3.2 m3 Swivel klein 50;SN-DEMO-000150;Schwehat;2023;klein;Kipplader 3.2 m3 Swivel;{}
DEMO-000151;Kipplader 3.2 m3 Swivel gross 01;SN-DEMO-000151;Schwehat;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000152;Kipplader 3.2 m3 Swivel gross 02;SN-DEMO-000152;Schwehat;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000153;Kipplader 3.2 m3 Swivel gross 03;SN-DEMO-000153;Schwehat;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000154;Kipplader 3.2 m3 Swivel gross 04;SN-DEMO-000154;Schwehat;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000155;Kipplader 3.2 m3 Swivel gross 05;SN-DEMO-000155;Schwehat;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000156;Kipplader 3.2 m3 Swivel gross 06;SN-DEMO-000156;Schwehat;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000157;Kipplader 3.2 m3 Swivel gross 07;SN-DEMO-000157;Schwehat;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000158;Kipplader 3.2 m3 Swivel gross 08;SN-DEMO-000158;Schwehat;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000159;Kipplader 3.2 m3 Swivel gross 09;SN-DEMO-000159;Schwehat;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000160;Kipplader 3.2 m3 Swivel gross 10;SN-DEMO-000160;Schwehat;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000161;Kipplader 3.2 m3 Swivel gross 11;SN-DEMO-000161;Schwehat;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000162;Kipplader 3.2 m3 Swivel gross 12;SN-DEMO-000162;Schwehat;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000163;Kipplader 3.2 m3 Swivel gross 13;SN-DEMO-000163;Schwehat;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000164;Kipplader 3.2 m3 Swivel gross 14;SN-DEMO-000164;Schwehat;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000165;Kipplader 3.2 m3 Swivel gross 15;SN-DEMO-000165;Schwehat;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000166;Kipplader 3.2 m3 Swivel gross 16;SN-DEMO-000166;Schwehat;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000167;Kipplader 3.2 m3 Swivel gross 17;SN-DEMO-000167;Schwehat;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000168;Kipplader 3.2 m3 Swivel gross 18;SN-DEMO-000168;Schwehat;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000169;Kipplader 3.2 m3 Swivel gross 19;SN-DEMO-000169;Schwehat;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000170;Kipplader 3.2 m3 Swivel gross 20;SN-DEMO-000170;Schwehat;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000171;Kipplader 3.2 m3 Swivel gross 21;SN-DEMO-000171;Schwehat;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000172;Kipplader 3.2 m3 Swivel gross 22;SN-DEMO-000172;Schwehat;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000173;Kipplader 3.2 m3 Swivel gross 23;SN-DEMO-000173;Schwehat;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000174;Kipplader 3.2 m3 Swivel gross 24;SN-DEMO-000174;Schwehat;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000175;Kipplader 3.2 m3 Swivel gross 25;SN-DEMO-000175;Schwehat;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000176;Kipplader 3.2 m3 Swivel gross 26;SN-DEMO-000176;Schwehat;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000177;Kipplader 3.2 m3 Swivel gross 27;SN-DEMO-000177;Schwehat;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000178;Kipplader 3.2 m3 Swivel gross 28;SN-DEMO-000178;Schwehat;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000179;Kipplader 3.2 m3 Swivel gross 29;SN-DEMO-000179;Schwehat;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000180;Kipplader 3.2 m3 Swivel gross 30;SN-DEMO-000180;Schwehat;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000181;Kipplader 3.2 m3 Swivel gross 31;SN-DEMO-000181;Schwehat;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000182;Kipplader 3.2 m3 Swivel gross 32;SN-DEMO-000182;Schwehat;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000183;Kipplader 3.2 m3 Swivel gross 33;SN-DEMO-000183;Schwehat;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000184;Kipplader 3.2 m3 Swivel gross 34;SN-DEMO-000184;Schwehat;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000185;Kipplader 3.2 m3 Swivel gross 35;SN-DEMO-000185;Schwehat;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000186;Kipplader 3.2 m3 Swivel gross 36;SN-DEMO-000186;Schwehat;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000187;Kipplader 3.2 m3 Swivel gross 37;SN-DEMO-000187;Schwehat;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000188;Kipplader 3.2 m3 Swivel gross 38;SN-DEMO-000188;Schwehat;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000189;Kipplader 3.2 m3 Swivel gross 39;SN-DEMO-000189;Schwehat;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000190;Kipplader 3.2 m3 Swivel gross 40;SN-DEMO-000190;Schwehat;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000191;Kipplader 3.2 m3 Swivel gross 41;SN-DEMO-000191;Schwehat;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000192;Kipplader 3.2 m3 Swivel gross 42;SN-DEMO-000192;Schwehat;2020;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000193;Kipplader 3.2 m3 Swivel gross 43;SN-DEMO-000193;Schwehat;2021;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000194;Kipplader 3.2 m3 Swivel gross 44;SN-DEMO-000194;Schwehat;2022;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000195;Kipplader 3.2 m3 Swivel gross 45;SN-DEMO-000195;Schwehat;2023;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000196;Kipplader 3.2 m3 Swivel gross 46;SN-DEMO-000196;Schwehat;2024;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000197;Kipplader 3.2 m3 Swivel gross 47;SN-DEMO-000197;Schwehat;2025;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000198;Kipplader 3.2 m3 Swivel gross 48;SN-DEMO-000198;Schwehat;2026;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000199;Kipplader 3.2 m3 Swivel gross 49;SN-DEMO-000199;Schwehat;2018;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000200;Kipplader 3.2 m3 Swivel gross 50;SN-DEMO-000200;Schwehat;2019;gross;Kipplader 3.2 m3 Swivel;{}
DEMO-000201;Bagger klein 01;SN-DEMO-000201;Schwehat;2020;klein;Bagger;{}
DEMO-000202;Bagger klein 02;SN-DEMO-000202;Schwehat;2021;klein;Bagger;{}
DEMO-000203;Bagger klein 03;SN-DEMO-000203;Schwehat;2022;klein;Bagger;{}
DEMO-000204;Bagger klein 04;SN-DEMO-000204;Schwehat;2023;klein;Bagger;{}
DEMO-000205;Bagger klein 05;SN-DEMO-000205;Schwehat;2024;klein;Bagger;{}
DEMO-000206;Bagger klein 06;SN-DEMO-000206;Schwehat;2025;klein;Bagger;{}
DEMO-000207;Bagger klein 07;SN-DEMO-000207;Schwehat;2026;klein;Bagger;{}
DEMO-000208;Bagger klein 08;SN-DEMO-000208;Schwehat;2018;klein;Bagger;{}
DEMO-000209;Bagger klein 09;SN-DEMO-000209;Schwehat;2019;klein;Bagger;{}
DEMO-000210;Bagger klein 10;SN-DEMO-000210;Schwehat;2020;klein;Bagger;{}
DEMO-000211;Bagger klein 11;SN-DEMO-000211;Schwehat;2021;klein;Bagger;{}
DEMO-000212;Bagger klein 12;SN-DEMO-000212;Schwehat;2022;klein;Bagger;{}
DEMO-000213;Bagger klein 13;SN-DEMO-000213;Schwehat;2023;klein;Bagger;{}
DEMO-000214;Bagger klein 14;SN-DEMO-000214;Schwehat;2024;klein;Bagger;{}
DEMO-000215;Bagger klein 15;SN-DEMO-000215;Schwehat;2025;klein;Bagger;{}
DEMO-000216;Bagger klein 16;SN-DEMO-000216;Schwehat;2026;klein;Bagger;{}
DEMO-000217;Bagger klein 17;SN-DEMO-000217;Schwehat;2018;klein;Bagger;{}
DEMO-000218;Bagger klein 18;SN-DEMO-000218;Schwehat;2019;klein;Bagger;{}
DEMO-000219;Bagger klein 19;SN-DEMO-000219;Schwehat;2020;klein;Bagger;{}
DEMO-000220;Bagger klein 20;SN-DEMO-000220;Schwehat;2021;klein;Bagger;{}
DEMO-000221;Bagger klein 21;SN-DEMO-000221;Schwehat;2022;klein;Bagger;{}
DEMO-000222;Bagger klein 22;SN-DEMO-000222;Schwehat;2023;klein;Bagger;{}
DEMO-000223;Bagger klein 23;SN-DEMO-000223;Schwehat;2024;klein;Bagger;{}
DEMO-000224;Bagger klein 24;SN-DEMO-000224;Schwehat;2025;klein;Bagger;{}
DEMO-000225;Bagger klein 25;SN-DEMO-000225;Schwehat;2026;klein;Bagger;{}
DEMO-000226;Bagger klein 26;SN-DEMO-000226;Schwehat;2018;klein;Bagger;{}
DEMO-000227;Bagger klein 27;SN-DEMO-000227;Schwehat;2019;klein;Bagger;{}
DEMO-000228;Bagger klein 28;SN-DEMO-000228;Schwehat;2020;klein;Bagger;{}
DEMO-000229;Bagger klein 29;SN-DEMO-000229;Schwehat;2021;klein;Bagger;{}
DEMO-000230;Bagger klein 30;SN-DEMO-000230;Schwehat;2022;klein;Bagger;{}
DEMO-000231;Bagger klein 31;SN-DEMO-000231;Schwehat;2023;klein;Bagger;{}
DEMO-000232;Bagger klein 32;SN-DEMO-000232;Schwehat;2024;klein;Bagger;{}
DEMO-000233;Bagger klein 33;SN-DEMO-000233;Schwehat;2025;klein;Bagger;{}
DEMO-000234;Bagger klein 34;SN-DEMO-000234;Schwehat;2026;klein;Bagger;{}
DEMO-000235;Bagger klein 35;SN-DEMO-000235;Schwehat;2018;klein;Bagger;{}
